GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G0400190","1990","AZ",,,,,,,,,,,,"99","Pima","019",,,"8","8520",,,,"9999","4","Arizona","04",,,,"0023794348","0000006304","Pima County","A","+32103960","-111814821","06",8622,21314,19974,9934,9371,28327,18133,17251,8130,8295,8205,8642,10395,12749,12525,11835,31439,56625,57569,52990,45108,34145,28110,27180,11162,17374,30369,24464,17985,10894,7764
"G0400210","1990","AZ",,,,,,,,,,,,"99","Pinal","021",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0013908286","0000011653","Pinal County","A","+32909084","-111346897","06",1675,3958,4078,1946,1945,6133,3815,3553,1785,1738,1760,1712,1689,1651,1540,1400,4437,8631,9080,8500,7219,5886,5343,5236,2164,3564,5702,4520,3127,1664,928
"G0400230","1990","AZ",,,,,,,,,,,,"99","Santa Cruz","023",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0003205764","0000001227","Santa Cruz County","A","+31523864","-110836469","06",443,1197,1115,563,528,1733,1216,1130,583,562,575,560,509,461,414,337,1093,2034,2297,2147,1865,1458,1275,1184,505,746,1120,882,546,360,238
"G0400250","1990","AZ",,,,,,,,,,,,"99","Yavapai","025",,,"8","9999",,,,"9999","4","Arizona","04",,,,"0021039978","0000012405","Yavapai County","A","+34595236","-112554041","06",981,2482,2528,1307,1361,4156,2784,2615,1188,1256,1233,1293,1284,1342,1118,981,2838,5516,6682,7561,6969,5912,5259,5924,2687,4844,9133,7218,4903,2625,1734
"G0400270","1990","AZ",,,,,,,,,,,,"99","Yuma","027",,,"8","9360",,,,"9999","4","Arizona","04",,,,"0014282395","0000012656","Yuma County","A","+32764761","-113897214","06",1582,3789,3716,1771,1783,5508,3504,3389,1702,1619,1665,1581,1634,1733,1898,1840,5101,8770,8343,7315,5958,4620,4249,4281,1781,2914,5343,4223,2852,1561,870
"G0600010","1990","CA",,,,,,,,,,,,"84","Alameda","001",,,"9","7362",,,,"5775","4","California","06",,,,"0001910082","0000216939","Alameda County","A","+37653853","-121913948","06",17053,41613,37266,18509,17392,50879,32220,30006,14065,14465,14509,15428,16744,19808,22089,21798,62969,123754,127536,116370,103031,74825,56679,48076,18296,28022,45040,34231,26267,16357,13885
"G0600030","1990","CA",,,,,,,,,,,,"99","Alpine","003",,,"9","9999",,,,"9999","4","California","06",,,,"0001913110","0000011843","Alpine County","A","+38579180","-119804453","06",14,39,26,23,19,62,38,23,7,6,12,13,13,9,14,15,50,102,109,99,104,55,73,55,20,29,30,18,23,8,5
"G0600050","1990","CA",,,,,,,,,,,,"99","Amador","005",,,"9","9999",,,,"9999","4","California","06",,,,"0001534745","0000030292","Amador County","A","+38444419","-120655265","06",261,603,608,326,354,1024,716,592,289,304,265,314,379,520,509,464,1214,2317,2477,2531,2249,1726,1449,1447,647,1149,1860,1422,989,588,446
"G0600070","1990","CA",,,,,,,,,,,,"99","Butte","007",,,"9","1620",,,,"9999","4","California","06",,,,"0004246565","0000097429","Butte County","A","+39662375","-121596065","06",1948,5233,5155,2710,2584,7779,4872,4474,2043,2116,1945,2025,2798,3665,4175,4203,10266,13149,13212,13340,11946,8810,6988,6920,3081,5247,9779,8545,6488,3764,2860
"G0600090","1990","CA",,,,,,,,,,,,"99","Calaveras","009",,,"9","9999",,,,"9999","4","California","06",,,,"0002642286","0000043349","Calaveras County","A","+38207542","-120551793","06",324,856,899,478,457,1413,954,855,450,424,436,391,269,259,217,226,655,1646,2372,2667,2498,2021,1755,1794,777,1248,2124,1591,1030,532,380
"G0600110","1990","CA",,,,,,,,,,,,"99","Colusa","011",,,"9","9999",,,,"9999","4","California","06",,,,"0002980513","0000014362","Colusa County","A","+39176482","-122235120","06",208,558,561,281,301,904,578,577,261,243,243,288,229,213,204,200,586,1154,1306,1267,1074,834,690,699,280,441,697,576,396,249,177
"G0600130","1990","CA",,,,,,,,,,,,"84","Contra Costa","013",,,"9","7362",,,,"5775","4","California","06",,,,"0001865540","0000212096","Contra Costa County","A","+37933350","-121948700","06",10497,26011,24235,12027,11659,34526,22299,20805,9810,9935,9931,10353,9757,10463,10769,9985,31285,67100,73947,71860,69264,53808,40679,33582,12751,18898,30395,22472,16534,10257,7838
"G0600150","1990","CA",,,,,,,,,,,,"99","Del Norte","015",,,"9","9999",,,,"9999","4","California","06",,,,"0002610426","0000574851","Del Norte County","A","+41737320","-123956960","06",291,720,727,386,396,1217,750,684,294,305,284,273,261,290,280,249,1086,2242,2190,1781,1580,1204,1015,932,396,592,1049,825,630,329,202
"G0600170","1990","CA",,,,,,,,,,,,"99","El Dorado","017",,,"9","6920",,,,"9999","4","California","06",,,,"0004432778","0000206706","El Dorado County","A","+38775488","-120527585","06",1576,3899,3851,2033,2001,6102,3938,3475,1628,1628,1578,1536,1359,1374,1280,1092,3452,8603,11842,12601,11294,7882,5757,5457,2245,3567,5634,4114,2685,1515,997
"G0600190","1990","CA",,,,,,,,,,,,"99","Fresno","019",,,"9","2840",,,,"9999","4","California","06",,,,"0015444704","0000141630","Fresno County","A","+36753992","-119647934","06",10777,26322,25409,12643,12243,37596,23108,21261,10017,10199,9604,9857,10069,10635,10987,10738,32739,57608,56443,50688,43227,32901,25847,23519,9531,14253,22967,17444,13347,8615,6896
"G0600210","1990","CA",,,,,,,,,,,,"99","Glenn","021",,,"9","9999",,,,"9999","4","California","06",,,,"0003405550","0000032018","Glenn County","A","+39594777","-122391742","06",325,881,878,458,440,1386,862,796,383,409,374,368,329,307,302,305,863,1723,1980,1939,1571,1250,1106,1000,396,685,1117,875,706,420,364
"G0600230","1990","CA",,,,,,,,,,,,"99","Humboldt","023",,,"9","9999",,,,"9999","4","California","06",,,,"0009253541","0001242490","Humboldt County","A","+40700416","-123911969","06",1453,3506,3579,1915,1804,5656,3545,3310,1444,1512,1473,1410,1692,2203,2078,2080,5171,9337,10156,10753,9508,6421,5052,4566,1949,2914,4804,3771,2965,1787,1304
"G0600250","1990","CA",,,,,,,,,,,,"99","Imperial","025",,,"9","9999",,,,"9999","4","California","06",,,,"0010813387","0000795211","Imperial County","A","+33038512","-115352917","06",1740,4257,3989,2072,2043,6550,4296,4196,2114,2066,1991,2145,1907,1732,1641,1403,4412,8118,8730,7973,6513,4916,4505,4291,1855,2740,4088,2972,1993,1239,816
"G0600270","1990","CA",,,,,,,,,,,,"99","Inyo","027",,,"9","9999",,,,"9999","4","California","06",,,,"0026397464","0000092404","Inyo County","A","+36589328","-117483183","06",195,508,493,269,283,798,513,507,241,213,197,220,194,153,124,150,413,1071,1367,1531,1378,1109,954,929,412,668,1071,888,665,418,349
"G0600290","1990","CA",,,,,,,,,,,,"99","Kern","029",,,"9","0680",,,,"9999","4","California","06",,,,"0021086815","0000052910","Kern County","A","+35338498","-118724910","06",9251,22010,21146,10579,10180,30543,18626,17061,8091,8138,7560,7802,7601,7750,7893,7618,23721,48982,50119,43110,34832,27069,21825,19701,7830,11725,18310,13823,10339,6123,4119
"G0600310","1990","CA",,,,,,,,,,,,"99","Kings","031",,,"9","9999",,,,"9999","4","California","06",,,,"0003598768","0000005429","Kings County","A","+36072642","-119814766","06",1710,3867,3840,1845,1813,5441,3383,3184,1413,1506,1374,1412,1277,1590,1846,1870,6268,11368,10011,8223,6096,4585,3616,3147,1192,1767,2592,2056,1591,932,654
"G0600330","1990","CA",,,,,,,,,,,,"99","Lake","033",,,"9","9999",,,,"9999","4","California","06",,,,"0003259420","0000184211","Lake County","A","+39090857","-122762036","06",523,1484,1363,747,693,2201,1436,1336,662,541,535,572,479,424,410,386,1186,2763,3487,3843,3471,2609,2375,2454,1185,1994,3742,3304,2345,1262,819
"G0600350","1990","CA",,,,,,,,,,,,"99","Lassen","035",,,"9","9999",,,,"9999","4","California","06",,,,"0011803898","0000422484","Lassen County","A","+40652341","-120577604","06",306,784,726,374,387,1283,801,748,369,369,358,318,338,415,495,458,1473,2750,2723,2461,2109,1475,1057,1037,443,679,1048,758,506,333,217
"G0600370","1990","CA",,,,,,,,,,,,"49","Los Angeles","037",,,"9","4472",,,,"4480","4","California","06",,,,"0010515327","0001793184","Los Angeles County","A","+34184667","-118261988","06",132518,317611,286156,137291,129046,381392,240849,231405,113064,116019,116706,124053,133488,147813,159774,157713,490248,899632,858167,731427,605242,468460,376895,331664,128664,187280,289634,217819,164636,103071,85427
"G0600390","1990","CA",,,,,,,,,,,,"99","Madera","039",,,"9","9999",,,,"9999","4","California","06",,,,"0005538501","0000038756","Madera County","A","+37219685","-119765135","06",1252,3109,2964,1572,1547,4782,3295,3110,1514,1455,1413,1370,1325,1276,1206,1107,3119,6062,6874,6861,6190,4712,3754,3727,1433,2285,3929,2657,1989,1279,922
"G0600410","1990","CA",,,,,,,,,,,,"84","Marin","041",,,"9","7362",,,,"7360","4","California","06",,,,"0001346220","0000798861","Marin County","A","+38035300","-122743465","06",2388,5858,5355,2611,2519,7276,4696,4315,2084,2203,2268,2363,2201,2199,2455,2435,8189,18178,21231,23250,24300,18941,13442,10907,4192,6071,9596,7142,5254,3358,2819
"G0600430","1990","CA",,,,,,,,,,,,"99","Mariposa","043",,,"9","9999",,,,"9999","4","California","06",,,,"0003758645","0000030246","Mariposa County","A","+37578193","-119909601","06",150,362,379,201,183,610,394,368,146,160,161,152,141,147,145,108,394,898,1135,1172,1019,928,764,796,335,546,878,724,477,249,180
"G0600450","1990","CA",,,,,,,,,,,,"99","Mendocino","045",,,"9","9999",,,,"9999","4","California","06",,,,"0009089043","0000956274","Mendocino County","A","+39431152","-123431626","06",972,2413,2488,1313,1301,3971,2508,2489,1186,1101,1044,1166,977,941,910,785,2468,5144,6213,6949,7436,5112,3724,3274,1317,2242,3624,2830,2192,1276,979
"G0600470","1990","CA",,,,,,,,,,,,"99","Merced","047",,,"9","4940",,,,"9999","4","California","06",,,,"0004995828","0000111700","Merced County","A","+37189464","-120711131","06",3200,7693,7247,3810,3706,10919,6657,6030,2936,2915,2787,2766,2764,2783,2739,2729,8316,15841,15206,12869,10594,8153,6708,6561,2420,3586,5774,4376,3163,1797,1358
"G0600490","1990","CA",,,,,,,,,,,,"99","Modoc","049",,,"9","9999",,,,"9999","4","California","06",,,,"0010215900","0000671474","Modoc County","A","+41595361","-120718555","06",116,249,267,144,153,475,339,314,147,144,133,142,113,84,89,83,244,548,721,743,737,556,496,469,204,330,573,422,298,192,153
"G0600510","1990","CA",,,,,,,,,,,,"99","Mono","051",,,"9","9999",,,,"9999","4","California","06",,,,"0007885220","0000226384","Mono County","A","+37910550","-118873970","06",127,357,330,155,151,426,272,204,93,107,97,115,96,108,134,127,483,1065,1170,1140,824,595,436,362,155,211,243,167,105,65,36
"G0600530","1990","CA",,,,,,,,,,,,"99","Monterey","053",,,"9","7120",,,,"9999","4","California","06",,,,"0008603831","0001163336","Monterey County","A","+36239310","-121310622","06",5433,13615,12249,5976,5794,16633,10314,9637,4575,4528,4468,4729,5573,6877,7118,6897,20279,35659,33656,28832,23487,16734,13051,12366,5094,7389,11745,8848,6516,4257,3331
"G0600550","1990","CA",,,,,,,,,,,,"84","Napa","055",,,"9","7362",,,,"8720","4","California","06",,,,"0001952502","0000089302","Napa County","A","+38502833","-122323151","06",1200,3115,3078,1556,1471,4524,2866,2706,1265,1331,1273,1335,1375,1610,1657,1433,4169,7928,8902,9056,8641,6813,5332,4847,1887,3056,5489,4532,3668,2510,2140
"G0600570","1990","CA",,,,,,,,,,,,"99","Nevada","057",,,"9","9999",,,,"9999","4","California","06",,,,"0002480332","0000043716","Nevada County","A","+39304003","-120766234","06",740,2062,2094,1089,1121,3546,2419,2153,941,951,990,886,781,734,674,563,1645,3893,5759,7301,7208,4880,3648,3605,1695,2881,5079,3978,2570,1540,1084
"G0600590","1990","CA",,,,,,,,,,,,"49","Orange","059",,,"9","4472",,,,"0360","4","California","06",,,,"0002045273","0000409804","Orange County","A","+33674967","-117777399","06",34293,79599,70981,34043,32887,96967,60623,57755,28372,29891,30851,33041,35515,40454,44571,43713,136136,250919,234686,198681,178276,142579,113022,96284,35408,49896,75699,54151,40859,27277,23127
"G0600610","1990","CA",,,,,,,,,,,,"99","Placer","061",,,"9","6920",,,,"9999","4","California","06",,,,"0003637424","0000248187","Placer County","A","+39064980","-120727661","06",2105,5288,5170,2738,2636,8152,5330,4832,2237,2278,2266,2194,2102,2157,2028,1802,5301,12186,15184,16172,15285,11571,8566,7500,2821,4270,7061,5314,3843,2440,1967
"G0600630","1990","CA",,,,,,,,,,,,"99","Plumas","063",,,"9","9999",,,,"9999","4","California","06",,,,"0006614759","0000154849","Plumas County","A","+40010792","-120834136","06",189,531,545,315,311,877,643,590,263,271,240,264,179,172,168,119,345,1027,1449,1725,1578,1221,1020,1032,484,826,1257,924,610,348,216
"G0600650","1990","CA",,,,,,,,,,,,"49","Riverside","065",,,"9","4472",,,,"6780","4","California","06",,,,"0018669111","0000247762","Riverside County","A","+33727917","-115977297","06",17517,45389,41899,20775,19652,58605,35972,32702,15436,15241,14992,15081,15586,16642,17311,16035,49616,103086,108858,91551,73169,55720,45399,42657,18118,28731,51409,41549,30807,18071,12837
"G0600670","1990","CA",,,,,,,,,,,,"99","Sacramento","067",,,"9","6920",,,,"9999","4","California","06",,,,"0002501140","0000077604","Sacramento County","A","+38445368","-121349033","06",14188,35798,33931,16843,16146,48309,30426,27574,12935,13103,12733,12993,12902,14360,15196,15138,49324,100564,100965,89494,76375,55004,45474,41393,16258,23535,38941,28934,20330,12377,9676
"G0600690","1990","CA",,,,,,,,,,,,"99","San Benito","069",,,"9","9999",,,,"9999","4","California","06",,,,"0003597857","0000004339","San Benito County","A","+36611964","-121084212","06",520,1384,1305,678,670,2024,1344,1275,544,547,544,566,548,539,530,514,1552,3049,3212,3029,2575,1998,1423,1366,527,809,1240,945,679,425,336
"G0600710","1990","CA",,,,,,,,,,,,"49","San Bernardino","071",,,"9","4472",,,,"6780","4","California","06",,,,"0051961173","0000115542","San Bernardino County","A","+34828251","-116191349","06",24603,59208,54531,26943,25663,76443,47356,44063,20519,20308,19767,19819,19901,22332,23138,22288,66757,134352,137613,117941,95066,69242,53128,46967,18489,27043,43325,32391,23806,14601,10777
"G0600730","1990","CA",,,,,,,,,,,,"99","San Diego","073",,,"9","7320",,,,"9999","4","California","06",,,,"0010889601","0000832538","San Diego County","A","+33020561","-116771868","06",36181,83843,75314,36746,35219,103245,64148,59874,28161,29163,28876,30176,37125,48121,53512,51967,146095,257011,242077,207763,172124,123965,96801,88639,35480,53250,91536,71674,52351,32471,25108
"G0600750","1990","CA",,,,,,,,,,,,"84","San Francisco","075",,,"9","7362",,,,"7360","4","California","06",,,,"0000120955","0000479639","San Francisco County","B","+37793250","-122554783","06",6094,15936,13569,6778,6363,18421,12415,11978,5747,6081,6459,7042,7524,8256,9747,10056,39300,81144,77390,70068,59785,40974,33891,31193,13026,19342,32048,25222,21159,14803,12148
"G0600770","1990","CA",,,,,,,,,,,,"99","San Joaquin","077",,,"9","8120",,,,"9999","4","California","06",,,,"0003624078","0000069753","San Joaquin County","A","+37932561","-121270600","06",6952,17851,17347,8634,8527,25539,15544,14456,6754,6822,6750,7074,6973,7339,7440,7090,21271,40701,42473,38525,32996,25130,19505,17524,7106,10795,17583,13690,10376,6649,5212
"G0600790","1990","CA",,,,,,,,,,,,"99","San Luis Obispo","079",,,"9","9999",,,,"9999","4","California","06",,,,"0008558655","0000806096","San Luis Obispo County","A","+35381635","-120445529","06",2325,5911,5666,2836,2847,8585,5333,4871,2210,2265,2220,2462,3928,4880,5064,5024,12569,17706,19063,18910,15499,10865,8326,7919,3460,5673,10156,8168,6018,3660,2743
"G0600810","1990","CA",,,,,,,,,,,,"84","San Mateo","081",,,"9","7362",,,,"7360","4","California","06",,,,"0001163191","0000756220","San Mateo County","A","+37436567","-122356471","06",7653,19509,17631,8498,8121,23735,14944,14228,6691,6910,7080,7486,7497,7901,8844,8530,29076,60056,62660,57631,52649,40997,33506,29130,11566,17096,27169,20408,15242,9633,7546
"G0600830","1990","CA",,,,,,,,,,,,"99","Santa Barbara","083",,,"9","7480",,,,"9999","4","California","06",,,,"0007092635","0002722338","Santa Barbara County","A","+34536645","-120025949","06",4862,11481,10646,5191,4962,14880,9111,8319,3937,4094,4034,4370,6557,8625,9220,8865,20795,33923,33355,29353,24365,18518,15752,14438,5684,8656,14375,11292,8801,6028,5119
"G0600850","1990","CA",,,,,,,,,,,,"84","Santa Clara","085",,,"9","7362",,,,"7400","4","California","06",,,,"0003344260","0000034472","Santa Clara County","A","+37232600","-121686315","06",19569,48261,43991,21623,20347,60074,37462,35429,17436,17699,18088,19228,21760,23611,24439,24011,76728,159611,157272,131502,113192,91155,72059,60367,21725,30620,46377,32766,23737,15274,12164
"G0600870","1990","CA",,,,,,,,,,,,"84","Santa Cruz","087",,,"9","7362",,,,"7485","4","California","06",,,,"0001154295","0000419399","Santa Cruz County","A","+37025900","-122007235","06",2911,6971,6574,3463,3272,9270,5844,5581,2628,2620,2715,2855,3784,4479,4686,4389,10770,19095,21516,22948,20156,13293,8930,7556,3056,4506,7592,6321,5269,3625,3059
"G0600890","1990","CA",,,,,,,,,,,,"99","Shasta","089",,,"9","6690",,,,"9999","4","California","06",,,,"0009804847","0000160454","Shasta County","A","+40760008","-122038133","06",1894,4617,4742,2357,2378,7090,4681,4346,2032,2063,2077,2134,1846,1877,1888,1543,4710,10013,11530,11961,10971,9088,7138,6505,2679,4166,7126,5558,4077,2269,1680
"G0600910","1990","CA",,,,,,,,,,,,"99","Sierra","091",,,"9","9999",,,,"9999","4","California","06",,,,"0002469392","0000022257","Sierra County","A","+39590741","-120499150","06",23,94,113,50,61,180,115,73,38,40,50,32,34,19,19,15,63,166,259,299,268,223,182,171,51,101,155,184,106,81,53
"G0600930","1990","CA",,,,,,,,,,,,"99","Siskiyou","093",,,"9","9999",,,,"9999","4","California","06",,,,"0016283999","0000156838","Siskiyou County","A","+41589207","-122533064","06",472,1191,1260,662,679,2152,1432,1379,632,632,612,538,546,538,399,366,1052,2342,3174,3675,3485,2529,2135,2076,920,1471,2442,1872,1376,860,632
"G0600950","1990","CA",,,,,,,,,,,,"84","Solano","095",,,"9","7362",,,,"8720","4","California","06",,,,"0002144950","0000203792","Solano County","A","+38267400","-121938347","06",5308,12530,11905,6030,5767,17363,10673,10045,4609,4503,4618,4489,4414,5018,5310,5003,15350,31941,34136,31771,26765,18481,13951,12078,4366,6134,10196,7411,5151,2980,2125
"G0600970","1990","CA",,,,,,,,,,,,"84","Sonoma","097",,,"9","7362",,,,"7500","4","California","06",,,,"0004082375","0000497646","Sonoma County","A","+38512470","-122928697","06",4724,11822,11773,5870,5828,17007,10729,9895,4475,4519,4517,4617,4799,5411,5256,4826,14442,30170,34878,36897,34383,23786,16684,14172,5800,8807,15902,13329,10784,6945,5175
"G0600990","1990","CA",,,,,,,,,,,,"99","Stanislaus","099",,,"9","5170",,,,"9999","4","California","06",,,,"0003870915","0000052422","Stanislaus County","A","+37562401","-120993750","06",5817,14151,13808,6953,6688,20133,12781,11696,5466,5333,5223,5322,5033,5254,5331,5193,15550,32022,33084,29279,25005,19247,15211,13459,5353,8036,13258,10150,7958,4860,3868
"G0601010","1990","CA",,,,,,,,,,,,"99","Sutter","101",,,"9","9340",,,,"9999","4","California","06",,,,"0001560972","0000015962","Sutter County","A","+39039974","-121689128","06",937,2249,2242,1121,1105,3146,2042,1856,953,933,907,912,938,838,847,868,2570,5174,5261,4859,4311,3663,3252,3025,1068,1724,2511,1984,1531,947,641
